"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Delivery Method"	"Delivery Method Code"	Births
	"Escambia County, FL"	"12033"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	83
	"Escambia County, FL"	"12033"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	41
	"Escambia County, FL"	"12033"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Vaginal"	"1"	28
	"Escambia County, FL"	"12033"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Cesarean"	"2"	12
	"Hernando County, FL"	"12053"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	10
	"Hernando County, FL"	"12053"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	11
	"Hernando County, FL"	"12053"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	14
	"Hillsborough County, FL"	"12057"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	18
	"Hillsborough County, FL"	"12057"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	12
	"Hillsborough County, FL"	"12057"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	20
	"Hillsborough County, FL"	"12057"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Vaginal"	"1"	178
	"Hillsborough County, FL"	"12057"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Cesarean"	"2"	34
	"Hillsborough County, FL"	"12057"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	550
	"Hillsborough County, FL"	"12057"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	240
	"Hillsborough County, FL"	"12057"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	504
	"Hillsborough County, FL"	"12057"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	286
	"Hillsborough County, FL"	"12057"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	328
	"Hillsborough County, FL"	"12057"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	189
	"Hillsborough County, FL"	"12057"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Vaginal"	"1"	132
	"Hillsborough County, FL"	"12057"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Cesarean"	"2"	113
	"Hillsborough County, FL"	"12057"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Vaginal"	"1"	29
	"Hillsborough County, FL"	"12057"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Cesarean"	"2"	29
	"Indian River County, FL"	"12061"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	42
	"Indian River County, FL"	"12061"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	20
	"Indian River County, FL"	"12061"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	35
	"Indian River County, FL"	"12061"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	19
	"Indian River County, FL"	"12061"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	16
	"Indian River County, FL"	"12061"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	15
	"Indian River County, FL"	"12061"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Vaginal"	"1"	14
	"Lake County, FL"	"12069"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Vaginal"	"1"	23
	"Lake County, FL"	"12069"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	74
	"Lake County, FL"	"12069"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	41
	"Lake County, FL"	"12069"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	46
	"Lake County, FL"	"12069"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	37
	"Lake County, FL"	"12069"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	30
	"Lake County, FL"	"12069"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	34
	"Lake County, FL"	"12069"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Vaginal"	"1"	21
	"Lake County, FL"	"12069"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Cesarean"	"2"	14
	"Lee County, FL"	"12071"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Vaginal"	"1"	46
	"Lee County, FL"	"12071"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Cesarean"	"2"	20
	"Lee County, FL"	"12071"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	142
	"Lee County, FL"	"12071"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	58
	"Lee County, FL"	"12071"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	138
	"Lee County, FL"	"12071"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	74
	"Lee County, FL"	"12071"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	96
	"Lee County, FL"	"12071"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	57
	"Lee County, FL"	"12071"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Vaginal"	"1"	48
	"Lee County, FL"	"12071"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Cesarean"	"2"	37
	"Lee County, FL"	"12071"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Vaginal"	"1"	11
	"Lee County, FL"	"12071"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Cesarean"	"2"	12
	"Leon County, FL"	"12073"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Vaginal"	"1"	60
	"Leon County, FL"	"12073"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Cesarean"	"2"	11
	"Leon County, FL"	"12073"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	285
	"Leon County, FL"	"12073"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	67
	"Leon County, FL"	"12073"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	185
	"Leon County, FL"	"12073"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	104
	"Leon County, FL"	"12073"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	124
	"Leon County, FL"	"12073"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	62
	"Leon County, FL"	"12073"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Vaginal"	"1"	45
	"Leon County, FL"	"12073"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Cesarean"	"2"	35
	"Leon County, FL"	"12073"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Vaginal"	"1"	12
	"Manatee County, FL"	"12081"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Vaginal"	"1"	39
	"Manatee County, FL"	"12081"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Cesarean"	"2"	11
	"Manatee County, FL"	"12081"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	101
	"Manatee County, FL"	"12081"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	31
	"Manatee County, FL"	"12081"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	83
	"Manatee County, FL"	"12081"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	25
	"Manatee County, FL"	"12081"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	41
	"Manatee County, FL"	"12081"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	25
	"Manatee County, FL"	"12081"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Vaginal"	"1"	18
	"Manatee County, FL"	"12081"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Cesarean"	"2"	16
	"Marion County, FL"	"12083"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	11
	"Marion County, FL"	"12083"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Vaginal"	"1"	31
	"Marion County, FL"	"12083"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Cesarean"	"2"	12
	"Marion County, FL"	"12083"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	124
	"Marion County, FL"	"12083"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	43
	"Marion County, FL"	"12083"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	105
	"Marion County, FL"	"12083"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	52
	"Marion County, FL"	"12083"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	67
	"Marion County, FL"	"12083"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	25
	"Marion County, FL"	"12083"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Vaginal"	"1"	22
	"Marion County, FL"	"12083"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Cesarean"	"2"	13
	"Martin County, FL"	"12085"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	16
	"Martin County, FL"	"12085"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	16
	"Miami-Dade County, FL"	"12086"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	11
	"Miami-Dade County, FL"	"12086"	"Cuban"	"2182-4"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	16
	"Miami-Dade County, FL"	"12086"	"Cuban"	"2182-4"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	23
	"Miami-Dade County, FL"	"12086"	"Cuban"	"2182-4"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	21
	"Miami-Dade County, FL"	"12086"	"Cuban"	"2182-4"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	14
	"Miami-Dade County, FL"	"12086"	"Cuban"	"2182-4"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	16
	"Miami-Dade County, FL"	"12086"	"Cuban"	"2182-4"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Cesarean"	"2"	12
	"Miami-Dade County, FL"	"12086"	"Central or South American"	"4"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Vaginal"	"1"	12
	"Miami-Dade County, FL"	"12086"	"Central or South American"	"4"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	19
	"Miami-Dade County, FL"	"12086"	"Central or South American"	"4"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	13
	"Miami-Dade County, FL"	"12086"	"Central or South American"	"4"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	22
	"Miami-Dade County, FL"	"12086"	"Central or South American"	"4"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	20
	"Miami-Dade County, FL"	"12086"	"Central or South American"	"4"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	21
	"Miami-Dade County, FL"	"12086"	"Central or South American"	"4"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Vaginal"	"1"	14
	"Miami-Dade County, FL"	"12086"	"Central or South American"	"4"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Cesarean"	"2"	14
	"Miami-Dade County, FL"	"12086"	"Other and Unknown Hispanic"	"5"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	19
	"Miami-Dade County, FL"	"12086"	"Other and Unknown Hispanic"	"5"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	10
	"Miami-Dade County, FL"	"12086"	"Other and Unknown Hispanic"	"5"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	16
	"Miami-Dade County, FL"	"12086"	"Other and Unknown Hispanic"	"5"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	14
	"Miami-Dade County, FL"	"12086"	"Other and Unknown Hispanic"	"5"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	14
	"Miami-Dade County, FL"	"12086"	"Other and Unknown Hispanic"	"5"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Cesarean"	"2"	10
	"Miami-Dade County, FL"	"12086"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Vaginal"	"1"	227
	"Miami-Dade County, FL"	"12086"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Cesarean"	"2"	95
	"Miami-Dade County, FL"	"12086"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	804
	"Miami-Dade County, FL"	"12086"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	417
	"Miami-Dade County, FL"	"12086"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	806
	"Miami-Dade County, FL"	"12086"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	530
	"Miami-Dade County, FL"	"12086"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	592
	"Miami-Dade County, FL"	"12086"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	479
	"Miami-Dade County, FL"	"12086"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Vaginal"	"1"	282
	"Miami-Dade County, FL"	"12086"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Cesarean"	"2"	261
	"Miami-Dade County, FL"	"12086"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Vaginal"	"1"	78
	"Miami-Dade County, FL"	"12086"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Cesarean"	"2"	74
	"Okaloosa County, FL"	"12091"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Vaginal"	"1"	13
	"Okaloosa County, FL"	"12091"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	53
	"Okaloosa County, FL"	"12091"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	31
	"Okaloosa County, FL"	"12091"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	51
	"Okaloosa County, FL"	"12091"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	20
	"Okaloosa County, FL"	"12091"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	22
	"Okaloosa County, FL"	"12091"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	10
	"Okaloosa County, FL"	"12091"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Vaginal"	"1"	10
	"Okaloosa County, FL"	"12091"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Cesarean"	"2"	10
	"Orange County, FL"	"12095"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Vaginal"	"1"	20
	"Orange County, FL"	"12095"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	54
	"Orange County, FL"	"12095"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	30
	"Orange County, FL"	"12095"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	45
	"Orange County, FL"	"12095"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	22
	"Orange County, FL"	"12095"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	40
	"Orange County, FL"	"12095"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	26
	"Orange County, FL"	"12095"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Vaginal"	"1"	17
	"Orange County, FL"	"12095"	"Central or South American"	"4"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	21
	"Orange County, FL"	"12095"	"Central or South American"	"4"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	10
	"Orange County, FL"	"12095"	"Central or South American"	"4"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	10
	"Orange County, FL"	"12095"	"Other and Unknown Hispanic"	"5"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	10
	"Orange County, FL"	"12095"	"Other and Unknown Hispanic"	"5"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	10
	"Orange County, FL"	"12095"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Vaginal"	"1"	204
	"Orange County, FL"	"12095"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Cesarean"	"2"	58
	"Orange County, FL"	"12095"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	649
	"Orange County, FL"	"12095"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	286
	"Orange County, FL"	"12095"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	650
	"Orange County, FL"	"12095"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	333
	"Orange County, FL"	"12095"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	450
	"Orange County, FL"	"12095"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	285
	"Orange County, FL"	"12095"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Vaginal"	"1"	219
	"Orange County, FL"	"12095"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Cesarean"	"2"	194
	"Orange County, FL"	"12095"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Vaginal"	"1"	68
	"Orange County, FL"	"12095"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Cesarean"	"2"	53
	"Osceola County, FL"	"12097"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Vaginal"	"1"	12
	"Osceola County, FL"	"12097"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	26
	"Osceola County, FL"	"12097"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	11
	"Osceola County, FL"	"12097"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	25
	"Osceola County, FL"	"12097"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	11
	"Osceola County, FL"	"12097"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	13
	"Osceola County, FL"	"12097"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Vaginal"	"1"	26
	"Osceola County, FL"	"12097"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	54
	"Osceola County, FL"	"12097"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	28
	"Osceola County, FL"	"12097"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	69
	"Osceola County, FL"	"12097"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	28
	"Osceola County, FL"	"12097"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	49
	"Osceola County, FL"	"12097"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Cesarean"	"2"	31
	"Osceola County, FL"	"12097"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Vaginal"	"1"	23
	"Osceola County, FL"	"12097"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Cesarean"	"2"	17
	"Palm Beach County, FL"	"12099"	"Mexican"	"2148-5"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	16
	"Palm Beach County, FL"	"12099"	"Mexican"	"2148-5"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	10
	"Palm Beach County, FL"	"12099"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	16
	"Palm Beach County, FL"	"12099"	"Puerto Rican"	"2180-8"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	16
	"Palm Beach County, FL"	"12099"	"Central or South American"	"4"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	22
	"Palm Beach County, FL"	"12099"	"Central or South American"	"4"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	26
	"Palm Beach County, FL"	"12099"	"Central or South American"	"4"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Cesarean"	"2"	11
	"Palm Beach County, FL"	"12099"	"Central or South American"	"4"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Vaginal"	"1"	16
	"Palm Beach County, FL"	"12099"	"Central or South American"	"4"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Vaginal"	"1"	10
	"Palm Beach County, FL"	"12099"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Vaginal"	"1"	129
	"Palm Beach County, FL"	"12099"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Cesarean"	"2"	42
	"Palm Beach County, FL"	"12099"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Vaginal"	"1"	488
	"Palm Beach County, FL"	"12099"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Cesarean"	"2"	220
	"Palm Beach County, FL"	"12099"	"Non-Hispanic Black"	"7"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Vaginal"	"1"	581
