"Notes"	"County"	"County Code"	"Race"	"Race Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Tobacco Use"	"Tobacco Use Code"	"Delivery Method"	"Delivery Method Code"	Births
	"Martin County, FL"	"12085"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	17
	"Martin County, FL"	"12085"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	21
	"Martin County, FL"	"12085"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	14
	"Martin County, FL"	"12085"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	16
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	173
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Cesarean"	"2"	102
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	818
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	744
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	1209
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	1340
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	925
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	1250
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	390
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	638
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Vaginal"	"1"	83
	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Cesarean"	"2"	177
	"Okaloosa County, FL"	"12091"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	30
	"Okaloosa County, FL"	"12091"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	10
	"Okaloosa County, FL"	"12091"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	41
	"Okaloosa County, FL"	"12091"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	14
	"Okaloosa County, FL"	"12091"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	26
	"Okaloosa County, FL"	"12091"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	14
	"Orange County, FL"	"12095"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	135
	"Orange County, FL"	"12095"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Cesarean"	"2"	44
	"Orange County, FL"	"12095"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	430
	"Orange County, FL"	"12095"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	193
	"Orange County, FL"	"12095"	"White"	"2106-3"	"20-24 years"	"20-24"	"Not Stated"	"9"	"Vaginal"	"1"	16
	"Orange County, FL"	"12095"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	413
	"Orange County, FL"	"12095"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	253
	"Orange County, FL"	"12095"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	288
	"Orange County, FL"	"12095"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	180
	"Orange County, FL"	"12095"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	135
	"Orange County, FL"	"12095"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	114
	"Orange County, FL"	"12095"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Vaginal"	"1"	29
	"Orange County, FL"	"12095"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Cesarean"	"2"	29
	"Osceola County, FL"	"12097"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	99
	"Osceola County, FL"	"12097"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Cesarean"	"2"	20
	"Osceola County, FL"	"12097"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	218
	"Osceola County, FL"	"12097"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	105
	"Osceola County, FL"	"12097"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	185
	"Osceola County, FL"	"12097"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	152
	"Osceola County, FL"	"12097"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	133
	"Osceola County, FL"	"12097"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	99
	"Osceola County, FL"	"12097"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	49
	"Osceola County, FL"	"12097"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	42
	"Osceola County, FL"	"12097"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Vaginal"	"1"	12
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	73
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Cesarean"	"2"	24
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	241
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	115
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	271
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	140
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	197
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	131
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	75
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	88
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Vaginal"	"1"	13
	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Cesarean"	"2"	24
	"Pasco County, FL"	"12101"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	27
	"Pasco County, FL"	"12101"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Cesarean"	"2"	12
	"Pasco County, FL"	"12101"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	79
	"Pasco County, FL"	"12101"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	35
	"Pasco County, FL"	"12101"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	93
	"Pasco County, FL"	"12101"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	53
	"Pasco County, FL"	"12101"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	53
	"Pasco County, FL"	"12101"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	40
	"Pasco County, FL"	"12101"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	31
	"Pasco County, FL"	"12101"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	23
	"Pinellas County, FL"	"12103"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	35
	"Pinellas County, FL"	"12103"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	102
	"Pinellas County, FL"	"12103"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	35
	"Pinellas County, FL"	"12103"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	115
	"Pinellas County, FL"	"12103"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	41
	"Pinellas County, FL"	"12103"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	92
	"Pinellas County, FL"	"12103"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	48
	"Pinellas County, FL"	"12103"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	42
	"Pinellas County, FL"	"12103"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	36
	"Polk County, FL"	"12105"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	100
	"Polk County, FL"	"12105"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Cesarean"	"2"	22
	"Polk County, FL"	"12105"	"White"	"2106-3"	"20-24 years"	"20-24"	"Yes"	"1"	"Vaginal"	"1"	13
	"Polk County, FL"	"12105"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	265
	"Polk County, FL"	"12105"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	82
	"Polk County, FL"	"12105"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	229
	"Polk County, FL"	"12105"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	101
	"Polk County, FL"	"12105"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	167
	"Polk County, FL"	"12105"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	80
	"Polk County, FL"	"12105"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	60
	"Polk County, FL"	"12105"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	46
	"Polk County, FL"	"12105"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Vaginal"	"1"	16
	"Polk County, FL"	"12105"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Cesarean"	"2"	10
	"St. Johns County, FL"	"12109"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	10
	"St. Lucie County, FL"	"12111"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	17
	"St. Lucie County, FL"	"12111"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	63
	"St. Lucie County, FL"	"12111"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	35
	"St. Lucie County, FL"	"12111"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	62
	"St. Lucie County, FL"	"12111"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	44
	"St. Lucie County, FL"	"12111"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	40
	"St. Lucie County, FL"	"12111"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	31
	"St. Lucie County, FL"	"12111"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	22
	"St. Lucie County, FL"	"12111"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	25
	"Santa Rosa County, FL"	"12113"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	14
	"Santa Rosa County, FL"	"12113"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	10
	"Sarasota County, FL"	"12115"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	31
	"Sarasota County, FL"	"12115"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	15
	"Sarasota County, FL"	"12115"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	35
	"Sarasota County, FL"	"12115"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	17
	"Sarasota County, FL"	"12115"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	23
	"Sarasota County, FL"	"12115"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	12
	"Sarasota County, FL"	"12115"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	13
	"Seminole County, FL"	"12117"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	19
	"Seminole County, FL"	"12117"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	73
	"Seminole County, FL"	"12117"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	32
	"Seminole County, FL"	"12117"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	86
	"Seminole County, FL"	"12117"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	52
	"Seminole County, FL"	"12117"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	64
	"Seminole County, FL"	"12117"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	30
	"Seminole County, FL"	"12117"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	29
	"Seminole County, FL"	"12117"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	24
	"Volusia County, FL"	"12127"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	26
	"Volusia County, FL"	"12127"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	88
	"Volusia County, FL"	"12127"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	21
	"Volusia County, FL"	"12127"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	88
	"Volusia County, FL"	"12127"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	32
	"Volusia County, FL"	"12127"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	61
	"Volusia County, FL"	"12127"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	27
	"Volusia County, FL"	"12127"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	20
	"Volusia County, FL"	"12127"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	16
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	106
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Cesarean"	"2"	28
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"20-24 years"	"20-24"	"Yes"	"1"	"Vaginal"	"1"	13
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	290
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	101
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	255
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	144
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	188
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	96
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	67
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	54
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Vaginal"	"1"	18
	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Cesarean"	"2"	18
	"Bartow County, GA"	"13015"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	13
	"Bartow County, GA"	"13015"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	17
	"Bartow County, GA"	"13015"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	10
	"Carroll County, GA"	"13045"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	10
	"Chatham County, GA"	"13051"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	11
	"Chatham County, GA"	"13051"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	28
	"Chatham County, GA"	"13051"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	45
	"Chatham County, GA"	"13051"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	14
	"Chatham County, GA"	"13051"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	28
	"Cherokee County, GA"	"13057"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	12
	"Cherokee County, GA"	"13057"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	20
	"Cherokee County, GA"	"13057"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	36
	"Cherokee County, GA"	"13057"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	17
	"Cherokee County, GA"	"13057"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	23
	"Cherokee County, GA"	"13057"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	15
	"Cherokee County, GA"	"13057"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	22
	"Cherokee County, GA"	"13057"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	10
	"Clarke County, GA"	"13059"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	25
	"Clarke County, GA"	"13059"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	25
	"Clarke County, GA"	"13059"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	25
	"Clayton County, GA"	"13063"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	30
	"Clayton County, GA"	"13063"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	68
	"Clayton County, GA"	"13063"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	30
	"Clayton County, GA"	"13063"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	83
	"Clayton County, GA"	"13063"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	19
	"Clayton County, GA"	"13063"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	55
	"Clayton County, GA"	"13063"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	26
	"Clayton County, GA"	"13063"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	41
	"Clayton County, GA"	"13063"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	21
	"Clayton County, GA"	"13063"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Vaginal"	"1"	14
	"Cobb County, GA"	"13067"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	59
	"Cobb County, GA"	"13067"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	159
	"Cobb County, GA"	"13067"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	36
	"Cobb County, GA"	"13067"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	181
	"Cobb County, GA"	"13067"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	51
	"Cobb County, GA"	"13067"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	147
	"Cobb County, GA"	"13067"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	75
	"Cobb County, GA"	"13067"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	98
	"Cobb County, GA"	"13067"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	40
	"Cobb County, GA"	"13067"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Vaginal"	"1"	21
	"Cobb County, GA"	"13067"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Cesarean"	"2"	20
	"Columbia County, GA"	"13073"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	11
	"Columbia County, GA"	"13073"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	15
	"Columbia County, GA"	"13073"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	13
	"Coweta County, GA"	"13077"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	11
	"Coweta County, GA"	"13077"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	11
	"DeKalb County, GA"	"13089"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	47
	"DeKalb County, GA"	"13089"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Cesarean"	"2"	10
	"DeKalb County, GA"	"13089"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	116
	"DeKalb County, GA"	"13089"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	31
	"DeKalb County, GA"	"13089"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	135
	"DeKalb County, GA"	"13089"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	54
	"DeKalb County, GA"	"13089"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	140
	"DeKalb County, GA"	"13089"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	49
	"DeKalb County, GA"	"13089"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	62
	"DeKalb County, GA"	"13089"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	28
	"DeKalb County, GA"	"13089"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Vaginal"	"1"	15
	"DeKalb County, GA"	"13089"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Cesarean"	"2"	11
	"Douglas County, GA"	"13097"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	22
	"Douglas County, GA"	"13097"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	17
	"Douglas County, GA"	"13097"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	15
	"Douglas County, GA"	"13097"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	10
	"Forsyth County, GA"	"13117"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	24
	"Forsyth County, GA"	"13117"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	10
	"Forsyth County, GA"	"13117"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	31
	"Forsyth County, GA"	"13117"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	13
	"Forsyth County, GA"	"13117"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	37
	"Forsyth County, GA"	"13117"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	16
	"Forsyth County, GA"	"13117"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	21
	"Forsyth County, GA"	"13117"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	10
	"Fulton County, GA"	"13121"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	49
	"Fulton County, GA"	"13121"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	84
	"Fulton County, GA"	"13121"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	18
	"Fulton County, GA"	"13121"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	101
